(1, 1)	KEYWORD: data, <data>
(1, 6)	TYPE_NAME: Ponto, <Ponto>
(1, 12)	LBRACE: {, <>
(2, 4)	ID: x, <>
(2, 6)	SCOPE_RESOLUTION: ::, <>
(2, 9)	TYPE_NAME: Float, <Float>
(2, 14)	SEMI: ;, <>
(3, 4)	ID: y, <>
(3, 6)	SCOPE_RESOLUTION: ::, <>
(3, 9)	TYPE_NAME: Float, <Float>
(3, 14)	SEMI: ;, <>
(4, 1)	RBRACE: }, <>
(6, 1)	ID: main, <>
(6, 5)	LPAREN: (, <>
(6, 6)	ID: l, <>
(6, 8)	SCOPE_RESOLUTION: ::, <>
(6, 11)	TYPE_NAME: Int, <Int>
(6, 14)	RPAREN: ), <>
(6, 15)	LBRACE: {, <>
(7, 4)	ID: p, <>
(7, 6)	ASSIGN: =, <>
(7, 8)	KEYWORD: new, <new>
(7, 12)	TYPE_NAME: Ponto, <Ponto>
(7, 17)	SEMI: ;, <>
(8, 4)	ID: z, <>
(8, 6)	ASSIGN: =, <>
(8, 8)	KEYWORD: new, <new>
(8, 12)	TYPE_NAME: Int, <Int>
(8, 15)	LBRACKET: [, <>
(8, 16)	RBRACKET: ], <>
(8, 17)	LBRACKET: [, <>
(8, 18)	INTEGER: 2, <2>
(8, 19)	MULT: *, <>
(8, 20)	ID: l, <>
(8, 21)	RBRACKET: ], <>
(8, 22)	SEMI: ;, <>
(9, 4)	ID: z, <>
(9, 5)	LBRACKET: [, <>
(9, 6)	INTEGER: 0, <0>
(9, 7)	RBRACKET: ], <>
(9, 9)	ASSIGN: =, <>
(9, 11)	KEYWORD: new, <new>
(9, 15)	TYPE_NAME: Int, <Int>
(9, 18)	LBRACKET: [, <>
(9, 19)	INTEGER: 10, <10>
(9, 21)	RBRACKET: ], <>
(9, 22)	SEMI: ;, <>
(10, 4)	ID: wrong, <>
(10, 10)	ASSIGN: =, <>
(10, 12)	KEYWORD: new, <new>
(10, 16)	TYPE_NAME: Int, <Int>
(10, 19)	SEMI: ;, <>
(11, 4)	KEYWORD: print, <print>
(11, 10)	ID: p, <>
(11, 11)	PERIOD: ., <>
(11, 12)	ID: x, <>
(11, 13)	SEMI: ;, <>
(12, 1)	RBRACE: }, <>

Tokens count: 58
